
eco_m3
[('high_env_pol', 2020, 2700299855730.12, 276.9538313569354),
 ('high_env_pol', 2035, 5002817658948.025, 517.8900268062138),
 ('high_env_pol', 2045, 8482953216360.483, 893.8833736944661),
 ('low_env_pol', 2020, 2700299855730.12, 276.9538313569354),
 ('low_env_pol', 2035, 7479920231878.214, 774.318864583666),
 ('low_env_pol', 2045, 19386709861307.855, 2042.8566766393947)]


 gwp_m3
[('high_env_pol', 2020, 302420530.786121, 0.031017490337038052),
 ('high_env_pol', 2035, 281397295.5633158, 0.029130154820219026),
 ('high_env_pol', 2045, 337258727.81864905, 0.035538327483524666),
 ('low_env_pol', 2020, 302420530.786121, 0.031017490337038052),
 ('low_env_pol', 2035, 463454160.0010747, 0.047976621118123675),
 ('low_env_pol', 2045, 865311559.9785892, 0.09118140779542562)]
