
eco_m3
[('high_env_pol', 2020, 3210048578906.122, 329.23575168267917),
 ('high_env_pol', 2035, 8039953603304.94, 832.2933336754596),
 ('high_env_pol', 2045, 13563570927512.646, 1429.2487805598153),
 ('low_env_pol', 2020, 3210048578906.122, 329.23575168267917),
 ('low_env_pol', 2035, 11015474914269.732, 1140.3183141065977),
 ('low_env_pol', 2045, 30456069496559.938, 3209.280241997886)]


 gwp_m3
[('high_env_pol', 2020, 753007475.6179671, 0.07723153596081714),
 ('high_env_pol', 2035, 979729931.1922656, 0.10142131792880596),
 ('high_env_pol', 2045, 1382728410.4710422, 0.1457037313457368),
 ('low_env_pol', 2020, 753007475.6179671, 0.07723153596081714),
 ('low_env_pol', 2035, 1529104229.610916, 0.1582923633137594),
 ('low_env_pol', 2045, 3463521014.0010757, 0.3649653334036961)]
